Type,ID,Cat,Part #,EFL,Diameter,R1,Glass,CT,R2,,,
LEN,TL,BAF,LA0209-E,750.00,25.40,342.52,BAF2,2.24,0.00,,,
LEN,TL,BAF,LA0259-E,40.00,12.70,18.27,BAF2,3.14,0.00,,,
LEN,TL,BAF,LA0270-E,75.00,25.40,34.25,BAF2,4.44,0.00,,,
LEN,TL,BAF,LA0309-E,15.00,12.70,6.85,BAF2,6.28,0.00,,,
LEN,TL,BAF,LA0506-E,20.00,12.70,9.13,BAF2,4.57,0.00,,,
LEN,TL,BAF,LA0583-E,30.00,25.40,13.70,BAF2,10.56,0.00,,,
LEN,TL,BAF,LA0606-E,200.00,25.40,91.34,BAF2,2.89,0.00,,,
LEN,TL,BAF,LA0618-E,150.00,25.40,68.51,BAF2,3.19,0.00,,,
LEN,TL,BAF,LA0737-E,100.00,25.40,45.67,BAF2,3.80,0.00,,,
LEN,TL,BAF,LA0820-E,1000.00,25.40,456.70,BAF2,2.18,0.00,,,
LEN,TL,BAF,LA0835-E,50.00,25.40,22.84,BAF2,5.86,0.00,,,
LEN,TL,BAF,LA0978-E,500.00,25.40,228.35,BAF2,2.35,0.00,,,
LEN,TL,CAF,LA5012,150.01,25.40,65.08,CAF2,3.25,0.00,,,
LEN,TL,CAF,LA5042,75.00,25.40,32.54,CAF2,4.58,0.00,,,
LEN,TL,CAF,LA5183,49.99,12.70,21.69,CAF2,2.45,0.00,,,
LEN,TL,CAF,LA5255,250.02,25.40,108.47,CAF2,2.74,0.00,,,
LEN,TL,CAF,LA5315,19.98,12.70,8.67,CAF2,4.26,0.00,,,
LEN,TL,CAF,LA5370,39.99,25.40,17.35,CAF2,7.52,0.00,,,
LEN,TL,CAF,LA5458,80.01,12.70,34.71,CAF2,2.08,0.00,,,
LEN,TL,CAF,LA5464,500.04,25.40,216.94,CAF2,2.37,0.00,,,
LEN,TL,CAF,LA5714,200.00,25.40,86.77,CAF2,2.93,0.00,,,
LEN,TL,CAF,LA5763,49.99,25.40,21.69,CAF2,6.10,0.00,,,
LEN,TL,CAF,LA5817,99.99,25.40,43.38,CAF2,3.90,0.00,,,
LEN,TL,CAF,LA5835,1000.07,25.40,433.88,CAF2,2.18,0.00,,,
LEN,TL,CAF,LA5956,750.06,25.40,325.41,CAF2,2.24,0.00,,,
LEN,TL,MGF,LA6002,50.14,25.40,18.90,MGF2_O,6.90,0.00,,,
LEN,TL,MGF,LA6004,75.07,25.40,28.30,MGF2_O,5.00,0.00,,,
LEN,TL,MGF,LA6005,100.27,25.40,37.80,MGF2_O,4.30,0.00,,,
LEN,TL,MGF,LA6006,150.14,25.40,56.60,MGF2_O,3.20,0.00,,,
LEN,TL,MGF,LA6007,200.01,25.40,75.40,MGF2_O,3.20,0.00,,,
LEN,TL,MGF,LA6008,250.15,25.40,94.30,MGF2_O,2.80,0.00,,,
LEN,TL,MGF,LA6009,500.03,25.40,188.50,MGF2_O,2.60,0.00,,,
LEN,TL,MGF,LA6010,1000.05,25.40,377.00,MGF2_O,2.40,0.00,,,
LEN,TL,ZNSE,LA7028-F,149.00,25.40,209.00,ZNSE,4.00,0.00,,,
LEN,TL,ZNSE,LA7228-F,199.98,25.40,280.50,ZNSE,4.00,0.00,,,
LEN,TL,ZNSE,LA7234-F,750.00,25.40,1052.00,ZNSE,2.08,0.00,,,
LEN,TL,ZNSE,LA7261-F,100.17,25.40,140.50,ZNSE,4.00,0.00,,,
LEN,TL,ZNSE,LA7270-F,500.00,25.40,701.33,ZNSE,2.11,0.00,,,
LEN,TL,ZNSE,LA7477-F,15.00,12.70,21.04,ZNSE,2.98,0.00,,,
LEN,TL,ZNSE,LA7542-F,25.40,25.40,35.63,ZNSE,4.34,0.00,,,
LEN,TL,ZNSE,LA7656-F,50.05,25.40,70.20,ZNSE,4.00,0.00,,,
LEN,TL,ZNSE,LA7660-F,75.00,25.40,105.20,ZNSE,4.00,0.00,,,
LEN,TL,ZNSE,LA7673-F,40.00,12.70,56.11,ZNSE,2.36,0.00,,,
LEN,TL,ZNSE,LA7733-F,20.00,12.70,28.05,ZNSE,2.73,0.00,,,
LEN,TL,ZNSE,LA7753-F,1000.00,25.40,1402.66,ZNSE,2.06,0.00,,,
LEN,TL,SI,LA8019-E,200.00,25.40,485.06,SILICON,4.00,0.00,,,
LEN,TL,SI,LA8020-E,100.00,25.40,242.53,SILICON,4.00,0.00,,,
LEN,TL,SI,LA8023-E,500.00,25.40,1212.65,SILICON,2.07,0.00,,,
LEN,TL,SI,LA8126-E,20.00,12.70,48.51,SILICON,2.42,0.00,,,
LEN,TL,SI,LA8281-E,25.40,25.40,61.60,SILICON,3.32,0.00,,,
LEN,TL,SI,LA8308-E,15.00,12.70,36.38,SILICON,2.56,0.00,,,
