TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3
LEN,AX,,ADP57.5A,7.5,5,5.1, BK7,3,-3.1, SF5,1,-7.1
LEN,AX,,ADP57.5B,7.5,5,5.1, BK7,3,-3.5, SF6,1,-6.329
LEN,AX,,ADP510A,10,5,6.329, BK7, 2.5,-4.328, SF5,1,-11.35
LEN,AX,,ADP510B,10,5,6, BK7,2.5,-5.1, SF6,1,-10.61
LEN,AX,,ADP515A,15,5,9.247, BK7,2,-6.4, SF5,1,-18.408
LEN,AX,,ADP515B,15,5,8.77, BK7,2,-7.36, SF6,1,-16.596
LEN,AX,,ADP610A,10,6,6.329, BK7,3,-4.328, SF5,1,-11.35
LEN,AX,,ADP610B,10,6,6, BK7,3,-5.1, SF6,1,-10.568
LEN,AX,,ADP6.3512.7A,12.7,6.35,8, BK7,2.5,-5.754, SF5,1.2,-15.136
LEN,AX,,ADP6.3512.7B,12.7,6.35,7.18, BK7,2.5,-6.481, SF6,1.2,-14.872
LEN,AX,,ADP6.3515A,15,6.35,9.35, BK7,2.5,-6.75, SF5,1.2,-18.408
LEN,AX,,ADP6.3515B,15,6.35,8.77, BK7,2.5,-7.57, SF6,1.2,-16.81
LEN,AX,,ADP810A,10,8,6.087, BK7,4.5,-5.1, SF5,1.2,-12.46
LEN,AX,,ADP810B,10,8,6.2, BK7,4.5,-5.1, SF6,1.2,-9.761
LEN,AX,,ADP816A,16,8,9.957, BK7,2.8,-7.41, SF5,1.2,-19.953
LEN,AX,,ADP816B,16,8,9.072, BK7,2.8,-8.22, SF6,1.2,-18.963
LEN,AX,,ADP820A,20,8,12.46, BK7,2.8,-8.954, SF5,1.2,-24.72
LEN,AX,,ADP820B,20,8,11.69, BK7,2.8,-10.069, SF6,1.2,-22.49
LEN,AX,,ADP12.719A,19,12.7,11.9, BK7, 6 00,-9.072, SF5,1.5,-23
LEN,AX,,ADP12.719B,19,12.7,11.11, BK7,6,-9.9, SF6,1.5,-21.15
LEN,AX,,ADP12.725A,25,12.7,15.305, BK7,5,-11.565, SF5,1.5,-32.18
LEN,AX,,ADP12.725B,25,12.7,14.388, BK7,5,-12.71, SF6,1.5,-28.63
LEN,AX,,ADP12.730A,30,12.7,18.408, BK7,4,-13.737, SF5,1.5,-38.756
LEN,AX,,ADP12.730B,30,12.7,17.52, BK7,4,-15.305, SF6,1.5,-34.43
LEN,AX,,ADP12.750A,50,12.7,30.6203, BK7,2.8,-22.22, SF5,1.5,-64.88
LEN,AX,,ADP12.750B,50,12.7,26.0856, BK7,2.8,-26.9, SF6,1.5,-72
LEN,AX,,ADP12.775A,75,12.7,45.6, BK7,2.5,-33.327, SF5, 1 500,-99.303
LEN,AX,,ADP12.775B,75,12.7,42.332, BK7,2.5,-37.33, SF6,1.5,-90
LEN,AX,,ADP25.430A,30,25.4,18.707, BK7,13.5,-15.668, SF5,2.5,-36.6
LEN,AX,,ADP25.430B,30,25.4,17.6, BK7,13.5,-16.457, SF6,2.5,-33.327
LEN,AX,,ADP25.435A,35,25.4,21.71, BK7,12,-17.539, SF5,2.5,-44.284
LEN,AX,,ADP25.435B,35,25.4,20.304, BK7,12,-18.707, SF6,2.5,-40
LEN,AX,,ADP25.440A,40,25.4,24.83, BK7,10.5,-19.47, SF5,2.5,-50.7
LEN,AX,,ADP25.440B,40,25.4,23.17, BK7,10.5,-21.1, SF6,2.5,-46.34
LEN,AX,,ADP25.445A,45,25.4,27.774, BK7,9.5,-21.579, SF5,2.5,-58.08
LEN,AX,,ADP25.445B,45,25.4,25.94, BK7,9.5,-23.61, SF6,2.5,-53.921
LEN,AX,,ADP25.450A,50,25.4,31, BK7,9,-23.33, SF5,2.5,-63.63
LEN,AX,,ADP25.450B,50,25.4,28.84, BK7,9,-25.68, SF6,2.5,-57.97
LEN,AX,,ADP25.460A,60,25.4,36.961, BK7,8,-27.451, SF5,2.5,-77.42
LEN,AX,,ADP25.460B,60,25.4,33.327, BK7,8,-31.52, SF6,2.5,-76
LEN,AX,,ADP25.475A,75,25.4,45.71, BK7,7,-34.014, SF5,2.5,-98.77
LEN,AX,,ADP25.475B,75,25.4,42.613, BK7,7,-38.2, SF6,2.5,-90
LEN,AX,,ADP25.4100A,100,25.4,61.8, BK7,6,-44.478, SF5,2.5,-128.83
LEN,AX,,ADP25.4100B,100,25.4,57.654, BK7,6,-51.52, SF6,2.5,-118.95
LEN,AX,,ADP25.4150A,150,25.4,91.15, BK7,5,-66.37, SF5,2.5,-197.7
