TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Conic ,AS0 1,AS1 1,AS2 1,AS3 1,AS4 1,AS5 1,AS6 1,AS7 1,AS8 1,Material 1,Thick 1,Radius 2,Conic 2 ,AS0 2,AS1 2,AS2 2,AS3 2,AS4 2,AS5 2,AS6 2,AS7 2,AS8 2
ASP,CS,HPX,A10-08HPX,8,10,6.215,-1,0,0,0.000200594,-1.05E-07,-1.13E-08,-1.02E-10,8.40E-13,4.64E-15,1.21E-16,A-S-LAH64,3.7,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,HPX,A12-10HPX,10.002,12.5,7.77,-1,0,0,9.85E-05,-6.99E-08,-2.39E-09,-1.13E-11,8.73E-14,2.90E-16,1.76E-18,A-S-LAH64,4.25,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,FPX,A12-15FPX,15,12.5,7.387,-0.75,0,0,5.93E-05,2.65E-07,9.20E-10,2.27E-12,-9.50E-15,6.62E-17,-1.69E-18,A-C-7980,4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,FPX,A12-20FPX,20,12.5,9.849,-0.569,0,0,5.65E-07,-2.46E-08,-1.78E-10,-6.32E-13,-1.13E-14,1.25E-16,-1.09E-18,A-C-7980,4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,LPX,A12-25LPX,25.001,12.5,12.78,-0.6,0,0,1.84E-06,-3.82E-09,-2.43E-11,3.17E-14,-3.70E-15,6.51E-17,-4.96E-19,N-BK7,4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,HPX,A15-12HPX,11.997,15,9.32,-1,0,0,5.76E-05,-2.50E-08,-6.75E-10,-2.00E-12,3.87E-15,1.24E-16,-3.66E-19,A-S-LAH64,5.28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,HPX,A18-15HPX,14.996,18,11.65,-1.1,0,0,3.69E-05,-1.29E-08,-1.40E-10,-2.51E-13,5.02E-16,5.86E-18,-1.13E-20,A-S-LAH64,6.2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,HPX,A20-18HPX,17.995,20,13.98,-1.4,0,0,3.49E-05,-2.32E-08,-1.54E-11,-8.17E-14,1.57E-16,2.26E-19,0.00E+00,A-S-LAH64,7.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,HPX,A25-20HPX,20.003,25,15.54,-1.35,0,0,2.36E-05,-1.13E-08,-1.11E-11,-2.40E-14,3.04E-17,1.37E-19,-1.89E-22,A-S-LAH64 ,7.6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,FPX,A25-25FPX,24.999,25,12.311,-0.686,0,0,9.81E-06,1.76E-08,2.51E-11,2.96E-14,-4.60E-17,2.16E-19,-1.43E-21,A-C-7980 ,12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,FPX,A25-30FPX,30.001,25,14.774,-0.77,0,0,8.42E-06,9.75E-09,9.18E-12,6.65E-15,9.58E-19,-4.59E-21,-2.21E-23,A-C-7980  ,10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ASP,CS,FPX,A25-40FPX,40.004,25,19.7,-0.65,0,0,1.39E-06,5.64E-10,-1.08E-13,-4.07E-16,-9.81E-19,0.00E+00,0.00E+00,A-C-7980  ,8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
