TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,WIDTH,RD 1,GL 1,TH 1,RD 2,,,
CYL,CV,VIS,CLCC-15.0-10.2-C,-20.0,15.0,15.0,10.2,N-BK7,2.8,0,,,
CYL,CV,UV,CLCC-15.0-10.2-UV,-20.0,15.0,15.0,10.2,SILUV,2.8,0,,,
CYL,CV,VIS,CLCC-15.0-12.7-C,-25.0,15.0,15.0,12.7,N-BK7,5.0,0,,,
CYL,CV,UV,CLCC-15.0-12.7-UV,-25.0,15.0,15.0,12.7,SILUV,5.0,0,,,
CYL,CV,VIS,CLCC-15.0-15.3-C,-30.0,15.0,15.0,15.3,N-BK7,3.1,0,,,
CYL,CV,UV,CLCC-15.0-15.3-UV,-30.0,15.0,15.0,15.3,SILUV,3.1,0,,,
CYL,CV,VIS,CLCC-15.0-20.3-C,-40.0,15.0,15.0,20.3,N-BK7,2.7,0,,,
CYL,CV,UV,CLCC-15.0-20.3-UV,-40.0,15.0,15.0,20.3,SILUV,2.7,0,,,
CYL,CV,VIS,CLCC-20.0-12.7-C,-25.0,20.0,20.0,12.7,N-BK7,4.2,0,,,
CYL,CV,UV,CLCC-20.0-12.7-UV,-25.0,20.0,20.0,12.7,SILUV,4.2,0,,,
CYL,CV,VIS,CLCC-20.0-15.3-C,-30.0,20.0,20.0,15.3,N-BK7,4.3,0,,,
CYL,CV,UV,CLCC-20.0-15.3-UV,-30.0,20.0,20.0,15.3,SILUV,4.3,0,,,
CYL,CV,VIS,CLCC-20.0-20.3-C,-40.0,20.0,20.0,20.3,N-BK7,3.5,0,,,
CYL,CV,UV,CLCC-20.0-20.3-UV,-40.0,20.0,20.0,20.3,SILUV,3.5,0,,,
CYL,CV,UV,CLCC-20.0-76.3-UV,-150.0,20.0,20.0,76.3,SILUV,3.4,0,,,
CYL,CV,VIS,CLCC-25.4-20.3-C,-40.0,25.4,25.4,20.3,N-BK7,4.6,0,,,
CYL,CV,UV,CLCC-25.4-20.3-UV,-40.0,25.4,25.4,20.3,SILUV,4.6,0,,,
CYL,CV,VIS,CLCC-25.4-25.4-C,-50.0,25.4,25.4,25.4,N-BK7,5.0,0,,,
CYL,CV,UV,CLCC-25.4-25.4-UV,-50.0,25.4,25.4,25.4,SILUV,5.0,0,,,
CYL,CV,VIS,CLCC-25.4-30.5-C,-60.0,25.4,25.4,30.5,N-BK7,4.3,0,,,
CYL,CV,UV,CLCC-25.4-30.5-UV,-60.0,25.4,25.4,30.5,SILUV,4.3,0,,,
CYL,CV,VIS,CLCC-25.4-38.1-C,-75.0,25.4,25.4,38.1,N-BK7,5.0,0,,,
CYL,CV,UV,CLCC-25.4-38.1-UV,-75.0,25.4,25.4,38.1,SILUV,5.0,0,,,
CYL,CV,VIS,CLCC-25.4-50.9-C,-100.0,25.4,25.4,50.9,N-BK7,5.0,0,,,
CYL,CV,UV,CLCC-25.4-50.9-UV,-100.0,25.4,25.4,50.9,SILUV,5.0,0,,,
CYL,CV,VIS,CLCC-25.4-76.3-C,-150.0,25.4,25.4,76.3,N-BK7,5.0,0,,,
CYL,CV,UV,CLCC-25.4-76.3-UV,-150.0,25.4,25.4,76.3,SILUV,5.0,0,,,
CYL,CV,VIS,CLCC-50.8-38.1-C,-75.0,50.8,50.8,38.1,N-BK7,8.0,0,,,
CYL,CV,UV,CLCC-50.8-38.1-UV,-75.0,50.8,50.8,38.1,SILUV,8.0,0,,,
CYL,CV,VIS,CLCC-50.8-50.9-C,-100.0,50.8,50.8,50.9,N-BK7,8.0,0,,,
CYL,CV,UV,CLCC-50.8-50.9-UV,-100.0,50.8,50.8,50.9,SILUV,8.0,0,,,
CYL,CV,VIS,CLCC-50.8-76.3-C,-150.0,50.8,50.8,76.3,N-BK7,6.0,0,,,
CYL,CV,UV,CLCC-50.8-76.3-UV,-150.0,50.8,50.8,76.3,SILUV,6.0,0,,,
CYL,CV,VIS,CLCX-15.0-10.2-C,20.0,15.0,15.0,10.2,N-BK7,6.0,0,,,
CYL,CV,UV,CLCX-15.0-10.2-UV,20.0,15.0,15.0,10.2,SILUV,6.0,0,,,
CYL,CV,VIS,CLCX-15.0-12.7-C,25.0,15.0,15.0,12.7,N-BK7,6.5,0,,,
CYL,CV,UV,CLCX-15.0-12.7-UV,25.0,15.0,15.0,12.7,SILUV,6.5,0,,,
CYL,CV,VIS,CLCX-15.0-15.3-C,30.0,15.0,15.0,15.3,N-BK7,5.0,0,,,
CYL,CV,UV,CLCX-15.0-15.3-UV,30.0,15.0,15.0,15.3,SILUV,5.0,0,,,
CYL,CV,VIS,CLCX-15.0-20.3-C,40.0,15.0,15.0,20.3,N-BK7,5.0,0,,,
CYL,CV,VIS,CLCX-20.0-12.7-C,25.0,20.0,20.0,12.7,N-BK7,8.0,0,,,
CYL,CV,UV,CLCX-20.0-12.7-UV,25.0,20.0,20.0,12.7,SILUV,8.0,0,,,
CYL,CV,VIS,CLCX-20.0-15.3-C,30.0,20.0,20.0,15.3,N-BK7,7.0,0,,,
CYL,CV,VIS,CLCX-20.0-20.3-C,40.0,20.0,20.0,20.3,N-BK7,6.0,0,,,
CYL,CV,UV,CLCX-20.0-20.3-UV,40.0,20.0,20.0,20.3,SILUV,6.0,0,,,
CYL,CV,VIS,CLCX-20.0-25.4-C,50.0,20.0,20.0,25.4,N-BK7,6.0,0,,,
CYL,CV,UV,CLCX-20.0-25.4-UV,50.0,20.0,20.0,25.4,SILUV,6.0,0,,,
CYL,CV,VIS,CLCX-20.0-30.5-C,60.0,20.0,20.0,30.5,N-BK7,5.0,0,,,
CYL,CV,UV,CLCX-20.0-30.5-UV,60.0,20.0,20.0,30.5,SILUV,5.0,0,,,
CYL,CV,VIS,CLCX-20.0-38.1-C,75.0,20.0,20.0,38.1,N-BK7,5.0,0,,,
CYL,CV,VIS,CLCX-20.0-50.9-C,100.0,20.0,20.0,50.9,N-BK7,5.0,0,,,
CYL,CV,VIS,CLCX-20.0-76.3-C,150.0,20.0,20.0,76.3,N-BK7,5.0,0,,,
CYL,CV,VIS,CLCX-25.0-15.3-C,30.0,25.0,25.0,15.3,N-BK7,11.0,0,,,
CYL,CV,VIS,CLCX-25.0-20.3-C,40.0,25.0,25.0,20.3,N-BK7,9.0,0,,,
CYL,CV,VIS,CLCX-25.0-25.4-C,50.0,25.0,25.0,25.4,N-BK7,7.4,0,,,
CYL,CV,VIS,CLCX-25.0-30.5-C,60.0,25.0,25.0,30.5,N-BK7,7.0,0,,,
CYL,CV,VIS,CLCX-25.0-38.1-C,75.0,25.0,25.0,38.1,N-BK7,6.2,0,,,
CYL,CV,VIS,CLCX-25.0-50.9-C,100.0,25.0,25.0,50.9,N-BK7,5.6,0,,,
CYL,CV,VIS,CLCX-25.0-76.3-C,150.0,25.0,25.0,76.3,N-BK7,5.1,0,,,
CYL,CV,VIS,CLCX-25.4-15.3-C,30.0,25.4,25.4,15.3,N-BK7,11.0,0,,,
CYL,CV,UV,CLCX-25.4-15.3-UV,30.0,25.4,25.4,15.3,SILUV,11.0,0,,,
CYL,CV,VIS,CLCX-25.4-20.3-C,40.0,25.4,25.4,20.3,N-BK7,9.0,0,,,
CYL,CV,UV,CLCX-25.4-20.3-UV,40.0,25.4,25.4,20.3,SILUV,9.0,0,,,
CYL,CV,VIS,CLCX-25.4-25.4-C,50.0,25.4,25.4,25.4,N-BK7,7.4,0,,,
CYL,CV,UV,CLCX-25.4-25.4-UV,50.0,25.4,25.4,25.4,SILUV,7.4,0,,,
CYL,CV,VIS,CLCX-25.4-30.5-C,60.0,25.4,25.4,30.5,N-BK7,7.0,0,,,
CYL,CV,UV,CLCX-25.4-30.5-UV,60.0,25.4,25.4,30.5,SILUV,7.0,0,,,
CYL,CV,VIS,CLCX-25.4-38.1-C,75.0,25.4,25.4,38.1,N-BK7,6.2,0,,,
CYL,CV,UV,CLCX-25.4-38.1-UV,75.0,25.4,25.4,38.1,SILUV,6.2,0,,,
CYL,CV,VIS,CLCX-25.4-50.9-C,100.0,25.4,25.4,50.9,N-BK7,5.6,0,,,
CYL,CV,UV,CLCX-25.4-50.9-UV,100.0,25.4,25.4,50.9,SILUV,5.6,0,,,
CYL,CV,VIS,CLCX-25.4-76.3-C,150.0,25.4,25.4,76.3,N-BK7,5.1,0,,,
CYL,CV,UV,CLCX-25.4-76.3-UV,150.0,25.4,25.4,76.3,SILUV,5.1,0,,,
CYL,CV,VIS,CLCX-30.0-25.4-C,50.0,30.0,30.0,25.4,N-BK7,9.0,0,,,
CYL,CV,VIS,CLCX-30.0-30.5-C,60.0,30.0,30.0,30.5,N-BK7,8.0,0,,,
CYL,CV,VIS,CLCX-30.0-38.1-C,75.0,30.0,30.0,38.1,N-BK7,7.0,0,,,
