TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL MAN,GL 2,TH 2,RD 3
LEN,EC,LPCX,43-9109,22.1,12.7,10.17,SILICA,4.23,0,,,,
LEN,EC,LPCX,43-9117,33.1,12.7,15.26,SILICA,3.38,0,,,,
LEN,EC,LPCX,43-9125,55.2,12.7,25.43,SILICA,2.81,0,,,,
LEN,EC,LPCX,43-9133,82.8,12.7,38.14,SILICA,2.53,0,,,,
LEN,EC,LPCX,43-9141,110.4,12.7,50.85,SILICA,2.4,0,,,,
LEN,EC,LPCX,43-9190,220.8,12.7,101.71,SILICA,2.2,0,,,,
LEN,EC,LPCX,43-9216,33.1,25.4,15.26,SILICA,8.8,0,,,,
LEN,EC,LPCX,43-9224,55.2,25.4,25.43,SILICA,5.4,0,,,,
LEN,EC,LPCX,43-9232,82.8,25.4,38.14,SILICA,4.18,0,,,,
LEN,EC,LPCX,43-9240,110.4,25.4,50.85,SILICA,3.61,0,,,,
LEN,EC,LPCX,43-9265,165.6,25.4,76.28,SILICA,3.06,0,,,,
LEN,EC,LPCX,43-9299,220.8,25.4,101.71,SILICA,2.8,0,,,,
LEN,EC,LPCX,43-9307,331.1,25.4,152.56,SILICA,2.53,0,,,,
LEN,EC,LPCX,43-9521,1103.8,25.4,508.53,SILICA,2.16,0,,,,
LEN,EC,LPCV,43-9315,-22.1,12.7,0,SILICA,2,10.17,,,,
LEN,EC,LPCV,43-9323,-33.1,12.7,0,SILICA,2,15.26
LEN,EC,LPCV,43-9331,-44.2,12.7,0,SILICA,2,20.34
LEN,EC,LPCV,43-9349,-55.2,12.7,0,SILICA,2,25.43
LEN,EC,LPCV,43-9356,-110.4,12.7,0,SILICA,2,50.85
LEN,EC,LPCV,43-9406,-220.8,12.7,0,SILICA,2,101.71
LEN,EC,LPCV,43-9414,-331.1,12.7,0,SILICA,2,152.56
LEN,EC,LPCV,43-9430,-55.2,25.4,0,SILICA,2,25.43
LEN,EC,LPCV,43-9455,-110.4,25.4,0,SILICA,2,50.85
LEN,EC,LPCV,43-9505,-220.8,25.4,0,SILICA,2,101.71
LEN,EC,LPCV,43-9513,-331.1,25.4,0,SILICA,2,152.56
