LEN,Manufacturer ID,Category,PN# element,FOC [mm],Dia [mm],R curvature [mm],Glass Type,Th [mm],R2
LEN,IS,IR,BF-PX-12-25,25,12.7,11.296,BaF2,4.0,0
LEN,IS,IR,BF-PX-12-50,50,12.7,22.619,BaF2,3.0,0
LEN,IS,IR,BF-PX-12-75,75,12.7,33.870,BaF2,2.6,0
LEN,IS,IR,BF-PX-25-50,50,25.4,22.619,BaF2,5.9,0
LEN,IS,IR,BF-PX-25-63,63,25.4,28.380,BaF2,5.0,0
LEN,IS,IR,BF-PX-25-75,75,25.4,33.870,BaF2,4.5,0
LEN,IS,IR,BF-PX-25-100,100,25.4,45.080,BaF2,3.9,0
LEN,IS,IR,BF-PX-25-150,150,25.4,67.570,BaF2,3.2,0
LEN,IS,IR,BF-PX-25-200,200,25.4,90.200,BaF2,2.9,0
LEN,IS,IR,BF-PX-25-250,250,25.4,112.720,BaF2,2.7,0
LEN,IS,IR,BF-PX-25-500,500,25.4,224.900,BaF2,2.6,0
LEN,IS,IR,BF-PX-25-1000,1000,25.4,449.500,BaF2,2.2,0
LEN,IS,IR,BF-PX-25-2000,2000,25.4,899.500,BaF2,2.1,0
LEN,IS,IR,BF-PX-38-50,50,38.1,22.619,BaF2,12.5,0
LEN,IS,IR,BF-PX-38-63,63,38.1,28.380,BaF2,9.4,0
LEN,IS,IR,BF-PX-38-75,75,38.1,33.870,BaF2,7.9,0
LEN,IS,IR,BF-PX-38-100,100,38.1,45.080,BaF2,6.3,0
LEN,IS,IR,BF-PX-38-150,150,38.1,67.570,BaF2,4.7,0
LEN,IS,IR,BF-PX-38-200,200,38.1,90.200,BaF2,4.0,0
LEN,IS,IR,BF-PX-38-250,250,38.1,112.720,BaF2,3.6,0
LEN,IS,IR,BF-PX-38-500,500,38.1,224.900,BaF2,2.8,0
LEN,IS,IR,BF-PX-38-1000,1000,38.1,449.500,BaF2,2.4,0
LEN,IS,IR,BF-PX-38-2000,2000,38.1,899.500,BaF2,2.3,0
LEN,IS,IR,BF-PX-50-75,75,50.8,33.870,BaF2,14.0,0
LEN,IS,IR,BF-PX-50-100,100,50.8,45.080,BaF2,10.5,0
LEN,IS,IR,BF-PX-50-150,150,50.8,67.570,BaF2,7.4,0
LEN,IS,IR,BF-PX-50-200,200,50.8,90.200,BaF2,6.1,0
LEN,IS,IR,BF-PX-50-250,250,50.8,112.720,BaF2,5.4,0
LEN,IS,IR,BF-PX-50-500,500,50.8,224.900,BaF2,3.9,0
LEN,IS,IR,BF-PX-50-1000,1000,50.8,449.500,BaF2,3.2,0
LEN,IS,IR,BF-PX-50-2000,2000,50.8,899.500,BaF2,2.8,0
LEN,IS,IR,BF-BX-12-12,12.7,12.7,10.471,BaF2,5.8,-10.471
LEN,IS,IR,BF-BX-12-25,25.4,12.7,22.340,BaF2,3.3,-22.34
LEN,IS,IR,BF-BX-12-50,50.8,12.7,45.430,BaF2,2.4,-45.43
LEN,IS,IR,BF-BX-12-76,76.2,12.7,68.390,BaF2,2.1,-68.39
LEN,IS,IR,BF-BX-25-25,25.4,25.4,21.230,BaF2,10.5,-21.23
LEN,IS,IR,BF-BX-25-50,50.8,25.4,44.870,BaF2,5.7,-44.87
LEN,IS,IR,BF-BX-25-63,63.5,25.4,56.490,BaF2,4.9,-56.49
LEN,IS,IR,BF-BX-25-76,76.2,25.4,67.920,BaF2,4.4,-67.92
