TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,LENGTH,RD1,GLA1,TH1,RD2
CYL,JML,,CYL13870/000,3.9,4,10,2,BK7,2.4,0
CYL,JML,,CYL13873/000,5.8,6,10,3,BK7,3.6,0
CYL,JML,,CYL13875/000,7.7,8,10,4,BK7,4.8,0
CYL,JML,,CYL13878/000,9.7,10,10,5,BK7,6,0
CYL,JML,,CYL13539/000,1000,20,20,514.66,BK7,3.1,0
CYL,JML,,CYL13541/000,150,20,10,77.2,BK7,3.7,0
CYL,JML,,CYL13542/000,150,20,20,77.2,BK7,3.7,0
CYL,JML,,CYL13543/000,150,20,40,77.2,BK7,3.7,0
CYL,JML,,CYL13544/000,200,20,10,102.93,BK7,3.5,0
CYL,JML,,CYL13546/000,200,20,20,102.93,BK7,3.5,0
CYL,JML,,CYL13547/000,200,20,40,102.93,BK7,3.5,0
CYL,JML,,CYL13548/000,1000,20,40,514.66,BK7,3.1,0
CYL,JML,,CYL13549/000,20,10,10,10.29,BK7,3.3,0
CYL,JML,,CYL13550/000,6.4,6,25,3.28,BK7,3,0
CYL,JML,,CYL13551/000,12.7,10,10,6.54,BK7,4.3,0
CYL,JML,,CYL13552/000,12.7,11,25,6.57,BK7,4,0
CYL,JML,,CYL13553/000,12.7,10,20,6.54,BK7,4.3,0
CYL,JML,,CYL13554/000,12.7,10,45,6.54,BK7,4.3,0
CYL,JML,,CYL13555/000,19,16,25,9.82,BK7,5.1,0
CYL,JML,,CYL13557/000,20,10,20,10.29,BK7,3.3,0
CYL,JML,,CYL13558/000,22.2,12.5,20,11.48,BK7,5.8,0
CYL,JML,,CYL13559/000,20,10,45,10.29,BK7,3.3,0
CYL,JML,,CYL13560/000,25.4,22,60,13.13,BK7,7,0
CYL,JML,,CYL13562/000,25,10,10,12.86,BK7,3,0
CYL,JML,,CYL13563/000,25,10,20,12.86,BK7,3,0
CYL,JML,,CYL13565/000,38.1,26,60,19.7,BK7,6.9,0
CYL,JML,,CYL13566/000,25,10,45,12.86,BK7,3,0
CYL,JML,,CYL13567/000,40,15,60,20.67,BK7,5.8,0
CYL,JML,,CYL13570/000,50,26,60,25.85,BK7,5.5,0
CYL,JML,,CYL13571/000,50,20,10,25.73,BK7,4,0
CYL,JML,,CYL13572/000,50,20,20,25.73,BK7,4,0
CYL,JML,,CYL13573/000,50,20,40,25.73,BK7,4,0
CYL,JML,,CYL13575/000,60,20,60,31,BK7,5.8,0
CYL,JML,,CYL13580/000,76.2,26,60,39.4,BK7,4.2,0
CYL,JML,,CYL13581/000,75,20,10,38.6,BK7,3.3,0
CYL,JML,,CYL13582/000,80,30,60,41.34,BK7,5.8,0
CYL,JML,,CYL13583/000,75,20,20,38.6,BK7,3.3,0
CYL,JML,,CYL13584/000,75,20,40,38.6,BK7,3.3,0
CYL,JML,,CYL13585/000,100,50,60,51.68,BK7,8.9,0
CYL,JML,,CYL13586/000,100,20,10,51.46,BK7,4,0
CYL,JML,,CYL13587/000,100,20,20,51.46,BK7,4,0
CYL,JML,,CYL13588/000,150,50,60,77.52,BK7,5.8,0
CYL,JML,,CYL13589/000,100,20,40,51.46,BK7,4,0
CYL,JML,,CYL13590/000,200,50,60,103.36,BK7,6.4,0
CYL,JML,,CYL13591/000,211.3,31.8,167.6,109.2,BK7,13.9,0
CYL,JML,,CYL13592/000,250,20,10,128.66,BK7,3.4,0
CYL,JML,,CYL13593/000,250,50,60,129.2,BK7,5.4,0
CYL,JML,,CYL13594/000,250,20,20,128.66,BK7,3.4,0
CYL,JML,,CYL13595/000,300,50,60,155.04,BK7,6,0
CYL,JML,,CYL13596/000,250,20,40,128.66,BK7,3.4,0
CYL,JML,,CYL13597/000,300,20,10,154.4,BK7,3.3,0
CYL,JML,,CYL13598/000,300,20,20,154.4,BK7,3.3,0
CYL,JML,,CYL13599/000,300,20,40,154.4,BK7,3.3,0
CYL,JML,,CYL13600/000,500,20,10,257.33,BK7,3.2,0
CYL,JML,,CYL13601/000,500,20,20,257.33,BK7,3.2,0
CYL,JML,,CYL13602/000,500,20,40,257.33,BK7,3.2,0
CYL,JML,,CYL13603/000,1000,20,10,514.66,BK7,3.1,0
CYL,JML,,CYL13870/000*,3.9,4,10,2,BK7,2.4,0
CYL,JML,,CYL13873/000*,5.8,6,10,3,BK7,3.6,0
CYL,JML,,CYL13875/000*,7.7,8,10,4,BK7,4.8,0
CYL,JML,,CYL13878/000*,9.7,10,10,5,BK7,6,0
CYL,JML,,CYL13605/000,-6.4,5,25,-3.28,BK7,5,0
CYL,JML,,CYL13610/000,-12.7,10,25,-6.56,BK7,5,0
CYL,JML,,CYL13611/000,-12.7,9,10,-6.54,BK7,2,0
CYL,JML,,CYL13612/000,-12.7,9,20,-6.54,BK7,2,0
CYL,JML,,CYL13613/000,-12.7,9,45,-6.54,BK7,2,0
CYL,JML,,CYL13615/000,-19,15,25,-9.82,BK7,5,0
CYL,JML,,CYL13616/000,-20,9,10,-10.29,BK7,2,0
CYL,JML,,CYL13617/000,-20,9,20,-10.29,BK7,2,0
CYL,JML,,CYL13618/000,-20,9,45,-10.29,BK7,2,0
CYL,JML,,CYL13620/000,-25.4,15,60,-13.13,BK7,5,0
CYL,JML,,CYL13621/000,-25,9,10,-12.86,BK7,2,0
CYL,JML,,CYL13622/000,-25,9,20,-12.86,BK7,2,0
CYL,JML,,CYL13623/000,-25,9,45,-12.86,BK7,2,0
CYL,JML,,CYL13625/000,-38.1,25,60,-19.7,BK7,5,0
CYL,JML,,CYL13630/000,-40,25,60,-20.67,BK7,5,0
CYL,JML,,CYL13635/000,-50,25,60,-25.85,BK7,5,0
CYL,JML,,CYL13636/000,-50,19,10,-25.73,BK7,2,0
CYL,JML,,CYL13637/000,-50,19,20,-25.73,BK7,2,0
CYL,JML,,CYL13638/000,-50,19,40,-25.73,BK7,2,0
CYL,JML,,CYL13640/000,-60,25,60,-31,BK7,5,0
CYL,JML,,CYL13641/000,-75,19,10,-38.6,BK7,2,0
CYL,JML,,CYL13642/000,-75,19,20,-38.6,BK7,2,0
CYL,JML,,CYL13643/000,-75,19,40,-38.6,BK7,2,0
CYL,JML,,CYL13645/000,-76.2,25,60,-39.4,BK7,5,0
CYL,JML,,CYL13650/000,-80,25,60,-41.34,BK7,5,0
CYL,JML,,CYL13655/000,-100,25,60,-51.68,BK7,5,0
CYL,JML,,CYL13656/000,-100,19,10,-51.46,BK7,3,0
CYL,JML,,CYL13657/000,-100,19,20,-51.46,BK7,3,0
CYL,JML,,CYL13658/000,-100,19,40,-51.46,BK7,3,0
CYL,JML,,CYL13660/000,-150,25,60,-77.52,BK7,5,0
CYL,JML,,CYL13661/000,-150,19,10,-77.2,BK7,3,0
CYL,JML,,CYL13662/000,-150,19,20,-77.2,BK7,3,0
CYL,JML,,CYL13663/000,-150,19,40,-77.2,BK7,3,0
CYL,JML,,CYL13665/000,-200,25,60,-103.36,BK7,5,0
CYL,JML,,CYL13666/000,-200,19,10,-102.93,BK7,3,0
CYL,JML,,CYL13667/000,-200,19,20,-102.93,BK7,3,0
CYL,JML,,CYL13668/000,-200,19,40,-102.93,BK7,3,0
CYL,JML,,CYL13670/000,-250,25,60,-129.2,BK7,5,0
CYL,JML,,CYL13671/000,-250,19,10,-128.66,BK7,3,0
CYL,JML,,CYL13672/000,-250,19,20,-128.66,BK7,3,0
CYL,JML,,CYL13673/000,-250,19,40,-128.66,BK7,3,0
CYL,JML,,CYL13675/000,-300,25,60,-155.04,BK7,5,0
CYL,JML,,CYL13680/000,-300,19,10,-154.4,BK7,3,0
CYL,JML,,CYL13681/000,-300,19,20,-154.4,BK7,3,0
CYL,JML,,CYL13682/000,-300,19,40,-154.4,BK7,3,0
CYL,JML,,CYL13683/000,-498,19,10,-257.33,BK7,3,0
CYL,JML,,CYL13684/000,-498,19,20,-257.33,BK7,3,0
CYL,JML,,CYL13685/000,-498,19,40,-257.33,BK7,3,0
CYL,JML,,CYL13686/000,-995.9,19,10,-514.66,BK7,3,0
CYL,JML,,CYL13687/000,-995.9,19,20,-514.66,BK7,3,0
CYL,JML,,CYL13688/000,-995.9,19,40,-514.66,BK7,3,0
CYL,JML,,CYL13690/000,4.4,4,10,2,SILICA,2.4,0
CYL,JML,,CYL13691/000,6.5,6,10,3,SILICA,3.6,0
CYL,JML,,CYL13692/000,8.7,8,10,4,SILICA,4.8,0
CYL,JML,,CYL13693/000,10.9,10,10,5,SILICA,6,0
CYL,JML,,CYL13694/000,25,12.5,20,11.48,SILICA,5.8,0
CYL,JML,,CYL13695/000,45.1,15,60,20.67,SILICA,5.8,0
CYL,JML,,CYL13696/000,90.2,30,60,41.34,SILICA,5.8,0
CYL,JML,,CYL13697/000,225.4,50,60,103.36,SILICA,6.4,0
