TYPE,MAIN ID,CAT,S/N,EFL,DIA,RD 1,CONIC 1,AS0 A0,AS1 A2,AS2 A4,AS3 A6,AS4 A8,AS5 A10,AS6 A12,AS7 A14,AS8 A16 ,GL 1,TH 1,RD 2,CONIC 2,AS0 A0,AS1 A2,AS2 A4,AS3 A6,AS4 A8,AS5 A10,AS6 A12,AS7 A14,AS8 A16 
ASP,LH,,350022,4.468115,4.2,3.15E+00,-8.65E-01,0,0,1.15E-03,8.04E-05,-1.80E-05,7.22E-07,0,0,0,C05-50,3.44E+00,-1.02E+01,-8.80E+00,0,0,3.74E-03,-3.98E-04,-2.07E-04,5.14E-05,0,0,0
ASP,LH,,350080,3.892183,4.29,2.75,-0.613916,0,0,0.000588919,-1.77E-05,1.01E-05,-3.91E-06,0,0,0,C05-50,3.0706,-8.737973981,-31.053808,0,0,0.00297573,-0.00050196,-0.000180723,3.62E-05,0,0,0
ASP,LH,,350110,6.242877,5,4.320000009,-0.648067,0,0,0.000165853,-8.28E-06,0,0,0,0,0,C05-50,5.3578,-14.57539,-87.228063,0,0,-0.000915754,8.64E-05,0,0,0,0,0
ASP,LH,,350140,1.451528,1.6,0.949999999,-0.522546,0,0,0,0.012528,-0.0397188,0,0,0,0,C05-50,1.0079,-5.961570003,0,0,0,0.146106,-0.27935,0.199181,0,0,0,0
ASP,LH,,350150,1.996244,1.99624355,1.499999999,-0.645786,0,0,0,-0.00127177,-0.00267573,0,0,0,0,C05-50,2,-2.910360004,0,0,0,0.0944102,-0.127642,0.0816437,0,0,0,0
ASP,LH,,350160,2.727814,3,1.93,-0.655844,0,0,0.00283298,-0.000043886,0.000152368,-0.000117709,0,0,0,C05-50,1.8256,-6.743679987,-31.753813,0,0,0.00735806,-0.00250767,-0.00110595,0.000387101,0,0,0
ASP,LH,,350170,6.167766,3.7,4.249999994,-0.863601,0,0,0.000177613,-1.55E-05,0,0,0,0,0,C05-50,3.4819,-19.13599999,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350200,1.139974,1.275234286,1.111111,-6.995295,0,0,0,0.171893,0.0409008,-0.0885435,0,0,0,C05-50,1.0311,-1.111111,-0.696917,0,0,0,0.0869628,0.0133304,0.153352,0,0,0
ASP,LH,,350220,10.99998,5.5,6.627608008,-0.554366,0,0,4.39E-06,-3.81E-07,0,0,0,0,0,C05-50,5,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350230,4.514123,4.95,2.944996304,-0.481104,0,0,-2.89E-05,-3.76E-05,3.26E-06,-1.18E-06,0,0,0,C05-50,2.94,-19.92230302,0,0,0,0.0042371,-0.00063484,3.47E-05,0,0,0,0
ASP,LH,,350240,8.000378,8,5.092393551,-0.473172,0,0,0,-2.26E-06,2.41E-09,-8.26E-09,0,0,0,C05-50,3.69,-56.20310141,0,0,0,0.00051248,-2.27E-05,3.33E-07,0,0,0,0
ASP,LH,,350260,15.29311,5,9.131139981,-0.53854,0,0,-7.92E-06,-1.27E-07,0,0,0,0,0,C05-50,2.2,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350280,18.396,5.5,10.9838,-0.542929,0,0,-4.49E-06,-4.92E-08,0,0,0,0,0,C05-50,2.2,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350330,3.1,5,2.749999997,-0.613916,0,0,0.000588919,-1.77E-05,1.01E-05,-3.91E-06,0,0,0,C05-50,3.19,-3.188540061,-12.66386,0,0,0.01245834,-0.003711945,0.000512239,-3.11E-05,0,0,0
ASP,LH,,350340,4.027506,5.034382285,2.774387576,-0.533348146,0,0,0.00042121,-7.49E-05,2.40E-05,-3.18E-06,0,0,0,C05-50,3.07,-10.98798674,16.0276594,0,0,0.009202479,-0.000916263,2.80E-05,6.74E-06,0,0,0
ASP,LH,,350350,4.5,3.7,2.879774503,-0.641594798,0,0,0.000314803,-2.55E-05,-2.81E-06,-3.31E-07,0,0,0,C05-50,3.65,-19.13599999,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350390,2.749711,3.6,1.638250708,-0.915803397,0,0,0.010758341,0.001298631,-3.80E-05,0,0,0,0,C05-50,1.9,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350430,5,1.515151503,2.928619866,-0.581233164,0,0,0,0,0,0,0,0,0,C05-50,1.01,0,0,0,0,0,0,0,0,0,0,0
ASP,LH,,350440,2.950941,4.297903552,2.39,-4.511124873,0,0,0.004798319,-0.001140838,0.000316012,-2.26E-05,0,0,0,C05-50,4.07,-2.39,-0.819002351,0,0,0.006997386,0.000492594,-0.000164595,2.75E-05,0,0,0
ASP,LH,,350450,1.164012,1.42254907,1,-2.53707813,0,0,0,0,0,0,0,0,0,C05-50,1.48,-1,-2.53707813,0,0,0,0,0,0,0,0,0
ASP,LH,,350550,6.1,2.2,3.572916438,-0.568065235,0,0,0,0,0,0,0,0,0,C05-50,1.93,0,0,0,0,0,0,0,0,0,0,0
