TYPE,MAIN ID,CAT,S/N,EFL,DIA,RD 1,CONIC 1,AS0 A0,AS1 A2,AS2 A4,AS3 A6,AS4 A8,AS5 A10,AS6 A12,AS7 A14,AS8 A16 ,GL MAN,GL 1,TH 1,RD 2,CONIC 2,AS0 A0,AS1 A2,AS2 A4,AS3 A6,AS4 A8,AS5 A10,AS6 A12,AS7 A14,AS8 A16 
ASP,MG,,01LAG000,8.5,12,0,0,0,1.64E-03,8.47E-02,7.29E-04,4.11E-04,0,0,0,0,B270,5.5,-12.25,,,,,,,,,,,
ASP,MG,,01LAG001,12,15,0,0,0,3.21E-02,7.97E-02,-1.29E-03,3.53E-04,0,0,0,0,B270,5.5,0,,,,,,,,,,,
ASP,MG,,01LAG002,12,17,0,0,0,9.88E-03,7.97E-02,-9.50E-04,2.75E-04,0,0,0,0,B270,8,0,,,,,,,,,,,
ASP,MG,,01LAG003,15.5,18,0,0,0,1.31E-02,6.17E-02,-1.33E-04,-1.17E-04,0,0,0,0,B270,7,0,,,,,,,,,,,
ASP,MG,,01LAG004,17,19,0,0,0,-7.44E-04,5.63E-02,1.99E-05,5.03E-05,0,0,0,0,B270,7,0,,,,,,,,,,,
ASP,MG,,01LAG005,18,24,0,0,0,7.10E-03,5.31E-02,8.37E-04,3.74E-06,0,0,0,0,B270,10,0,,,,,,,,,,,
ASP,MG,,01LAG007,26.5,30,0,0,0,9.67E-03,3.61E-02,-7.15E-04,1.50E-04,-8.20E-06,1.07E-07,0,0,B270,11,0,,,,,,,,,,,
ASP,MG,,01LAG009,29.5,40,0,0,0,1.75E-05,2.95E-02,-2.11E-04,1.11E-06,1.69E-06,-5.16E-08,0,0,B270,15.5,-118,,,,,,,,,,,
ASP,MG,,01LAG010,33,52,0,0,0,-1.10E-03,2.90E-02,7.14E-05,-6.54E-06,5.78E-07,-1.54E-09,0,0,B270,25,0,,,,,,,,,,,
ASP,MG,,01LAG012,34.5,38,0,0,0,5.79E-03,2.77E-02,1.93E-04,-2.69E-05,2.02E-06,-3.81E-08,0,0,B270,12,0,,,,,,,,,,,
ASP,MG,,01LAG013,35,50,0,0,0,3.06E-03,2.73E-02,-2.38E-04,2.72E-05,-9.78E-07,1.82E-08,0,0,B270,20.6,0,,,,,,,,,,,
ASP,MG,,01LAG014,36,40,0,0,0,-1.28E-03,3.03E-02,-3.80E-04,1.72E-05,9.75E-07,-3.97E-08,0,0,B270,19.4,80,,,,,,,,,,,
ASP,MG,,01LAG017,39,60,0,0,0,-2.06E-04,2.34E-02,9.86E-05,-1.27E-05,6.46E-07,-7.11E-09,0,0,B270,27.5,-248,,,,,,,,,,,
ASP,MG,,01LAG018,43,60,0,0,0,6.89E-03,2.11E-02,-4.07E-04,1.44E-04,-1.65E-05,8.99E-07,-2.35E-08,2.36E-10,B270,23,-300,,,,,,,,,,,
ASP,MG,,01LAG019,53,65,0,0,0,1.07E-03,1.80E-02,-1.15E-04,1.05E-05,-2.83E-07,2.81E-09,0,0,B270,23.5,0,,,,,,,,,,,
ASP,MG,,01LAG023,50,75,0,0,0,3.58E-03,1.91E-02,2.47E-06,-2.50E-07,0,0,0,0,B270,29.1,0
ASP,MG,,01LAG025,79,84,0,0,0,4.41E-03,1.34E-02,-7.07E-05,1.84E-05,-1.58E-06,6.41E-08,-1.23E-09,9.00E-12,B270,26,300
ASP,MG,,01LAG115,23.5,32.5,0,0,0,2.88E-03,3.87E-02,5.86E-04,-1.59E-04,1.40E-05,-3.64E-07,0,0,B270,13.5,-165
ASP,MG,,01LAG117,25,32.5,0,0,0,3.39E-03,3.83E-02,6.95E-04,-1.72E-04,1.47E-05,-3.80E-07,0,0,B270,13,0
ASP,MG,,01LAG119,35,35,0,0,0,5.98E-03,2.73E-02,-1.98E-05,1.10E-05,0,0,0,0,B270,11.5,0
ASP,MG,,01LAG123,37,46.8,0,0,0,5.40E-03,2.58E-02,-5.83E-05,9.70E-05,-5.88E-06,1.43E-07,6.54E-10,-5.00E-11,B270,23,0
ASP,MG,,01LAG125,38.5,50,0,0,0,7.64E-04,2.48E-02,-1.73E-04,4.17E-05,-2.13E-06,4.07E-08,0,0,B270,20,0
ASP,MG,,01LAG127,53,68,0,0,0,2.94E-03,1.73E-02,-2.37E-05,5.22E-06,-1.38E-07,1.32E-09,0,0,B270,24,-500
