TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,LENGTH,RD1,GLA1,TH1,RD2
CYL,MG,,01LCN000,-6.4,6,25,-3.282,BK7,3.1,0
CYL,MG,,01LCN001,-12.7,12,25,-6.563,BK7,3.2,0
CYL,MG,,01LCN002,-19,15,25,-9.819,BK7,3.6,0
CYL,MG,,01LCN003,-25.4,15,60,-13.127,BK7,3.7,0
CYL,MG,,01LCN004,-40,15,60,-20.672,BK7,4.6,0
CYL,MG,,01LCN005,-60,20,60,-31.008,BK7,4.4,0
CYL,MG,,01LCN006,-80,30,60,-41.344,BK7,3.2,0
CYL,MG,,01LCN007,-100,50,60,-51.68,BK7,3,0
CYL,MG,,01LCN008,-150,50,60,-77.52,BK7,5.4,0
CYL,MG,,01LCN009,-200,50,60,-103.36,BK7,6.5,0
CYL,MG,,01LCN011,-250,50,60,-129.2,BK7,7,0
CYL,MG,,01LCN012,-300,50,60,-155.04,BK7,7.5,0
CYL,MG,,01LCN013,-5.0000,5,12.5,2.584,BK7,2.5,0
CYL,MG,,01LCN014,-10.0000,10,12.5,5.168,BK7,4,0
CYL,MG,,01LCN015,-500.0000,51,60,258.4,BK7,7.5,0
CYL,MG,,01LCP000,6.4,5.4,25,3.282,BK7,3.5,0
CYL,MG,,01LCP001,40,13.5,60,20.672,BK7,2.7,0
CYL,MG,,01LCP002,12.7,10.8,25,6.563,BK7,5,0
CYL,MG,,01LCP003,40,13.5,130,20.672,BK7,2.7,0
CYL,MG,,01LCP004,19,17.1,25,9.819,BK7,8.5,0
CYL,MG,,01LCP005,60,18,60,31.008,BK7,3,0
CYL,MG,,01LCP006,25.4,19.8,60,13.127,BK7,7,0
CYL,MG,,01LCP009,80,27,60,41.344,BK7,4,0
CYL,MG,,01LCP011,100,45,60,51.68,BK7,8,0
CYL,MG,,01LCP013,150,45,60,77.52,BK7,6,0
CYL,MG,,01LCP015,200,45,60,103.36,BK7,5,0
CYL,MG,,01LCP017,250,45,60,129.2,BK7,4.5,0
CYL,MG,,01LCP019,300,45,60,155.04,BK7,4,0
CYL,MG,,01LCP021,60,18,130,31.008,BK7,3,0
CYL,MG,,01LCP023,5.0000,4.5,12.5,2.584,BK7,2.3,0
CYL,MG,,01LCP025,10.0000,9,12.5,5.168,BK7,3.8,0
CYL,MG,,01LCP027,500.0000,50,60,254.4,BK7,4.5,0
CYL,MG,,01LQC000,12.7,9,25,5.823,SILICA,3.8,0
CYL,MG,,01LQC001,19,13.5,25,8.712,SILICA,5.3,0
CYL,MG,,01LQC003,40,23.4,60,18.34,SILICA,7.4,0
CYL,MG,,01LQC004,50,23.4,60,22.925,SILICA,6,0
CYL,MG,,01LQC005,76.2,23.4,60,34.938,SILICA,4.5,0
CYL,MG,,01LQC006,100,23.4,60,45.85,SILICA,3.9,0
CYL,MG,,01LQC007,200,23.4,60,91.7,SILICA,3.9,0
CYL,MG,,01LQC008,300,23.4,60,137.55,SILICA,3.6,0
CYL,MG,,01LQC009,-12.7,9,25,-5.823,SILICA,5,0
CYL,MG,,01LQC011,-19,14,25,-8.712,SILICA,5,0
CYL,MG,,01LQC012,-25.4,14,60,-11.646,SILICA,5,0
CYL,MG,,01LQC013,-40,25,60,-18.34,SILICA,5,0
CYL,MG,,01LQC014,-50,25,60,-22.925,SILICA,5,0
CYL,MG,,01LQC015,-76.2,25,60,-34.938,SILICA,5,0
CYL,MG,,01LQC016,-100,25,60,-45.85,SILICA,5,0
CYL,MG,,01LQC017,-200,25,60,-91.7,SILICA,5,0
CYL,MG,,01LQC018,-300,25,60,-137.55,SILICA,5,0
CYL,MG,,01LQC019,25.4000,15,60,11.643,SILICA,5,0
CYL,MG,,01LQC020,125.0000,26,60,57.3,SILICA,2.9,0
CYL,MG,,01LQC403,4.0000,3.2,12.5,1.834,SILICA,1.8,0
CYL,MG,,01LQC405,8.0000,6.5,12.5,3.668,SILICA,3.8,0
CYL,MG,,01LQC407,10.0000,8,12.5,4.585,SILICA,3.8,0
CYL,MG,,01LQC423,-4.0000,6,12.5,-1.834,SILICA,2.5,0
CYL,MG,,01LQC425,-8.0000,7.2,12.5,-3.668,SILICA,3,0
CYL,MG,,01LQC427,-10.0000,10,12.5,-4.585,SILICA,4,0
