TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material,Thick,Radius 2
LEN,MG,,01LAM059,74.16,16.2,17.1,SF8,4,23.25
LEN,MG,,01LAM059,73.5,18,17.1,SF8,4,23.25
LEN,MG,,01LAM111,117.18,16.2,28.35,SF8,4,41.18
LEN,MG,,01LAM111,116.2,18,28.35,SF8,4,41.18
LEN,MG,,01LAM117,131.26,17.1,32,SF8,4,47
LEN,MG,,01LAM117,130.2,19,32,SF8,4,47
LEN,MG,,01LAM126,147.56,28.35,35.2,SF8,6,50.1
LEN,MG,,01LAM126,146.4,31.5,35.2,SF8,6,50.1
LEN,MG,,01LAM138,176.61,36,42.21,SF8,7,60.26
LEN,MG,,01LAM138,175.2,40,42.21,SF8,7,60.26
LEN,MG,,01LAM148,216.24,17.1,53.9,SF8,4,81.9
LEN,MG,,01LAM148,214.6,19,53.9,SF8,4,81.9
LEN,MG,,01LAM155,235.42,28.35,57.93,SF8,6,86.31
LEN,MG,,01LAM155,233.6,31.5,57.93,SF8,6,86.31
LEN,MG,,01LAM225,292.96,36,72.31,SF8,7,108.23
LEN,MG,,01LAM225,290.7,40,72.31,SF8,7,108.23
LEN,MG,,01LAM229,365.59,28.35,91.45,SF8,6,139.74
LEN,MG,,01LAM229,362.8,31.5,91.45,SF8,6,139.74
LEN,MG,,01LAM277,511.72,36,128.59,SF8,7,197.93
LEN,MG,,01LAM277,507.8,40,128.59,SF8,7,197.93
LEN,MG,,01LAM459,73.5,18,17.1,N-SF8,4,23.25
LEN,MG,,01LAM511,116.2,18,28.35,N-SF8,4,41.18
LEN,MG,,01LAM517,130.2,19,32,N-SF8,4,47
LEN,MG,,01LAM526,146.4,31.5,35.2,N-SF8,6,50.1
LEN,MG,,01LAM538,175.2,40,42.21,N-SF8,7,60.26
LEN,MG,,01LAM548,214.6,19,53.9,N-SF8,4,81.9
LEN,MG,,01LAM555,233.6,31.5,57.93,N-SF8,6,86.31
LEN,MG,,01LAM625,290.7,40,72.31,N-SF8,7,108.23
LEN,MG,,01LAM629,362.8,31.5,91.45,N-SF8,6,139.74
LEN,MG,,01LAM677,507.8,40,128.59,N-SF8,7,197.93
LEN,MG,,01LDX001,7.0242,4.5,6.707,BK7,3,-6.707
LEN,MG,,01LDX003,8.0279,5.4,7.711,BK7,3.2,-7.711
LEN,MG,,01LDX005,10.036,4.5,9.91,BK7,2.6,-9.91
LEN,MG,,01LDX009,10.035,9,9.477,BK7,4.8,-9.477
LEN,MG,,01LDX013,12.746,5.67,12.679,BK7,2.8,-12.679
LEN,MG,,01LDX015,14.251,11.25,13.822,BK7,5,-13.822
LEN,MG,,01LDX017,15.055,6.75,15.05,BK7,2.9,-15.05
LEN,MG,,01LDX019,15.053,13.05,14.479,BK7,5.9,-14.479
LEN,MG,,01LDX023,18.065,11.7,17.89,BK7,4.4,-17.89
LEN,MG,,01LDX025,20.072,13.5,19.875,BK7,4.9,-19.875
LEN,MG,,01LDX027,20.071,18.9,19.239,BK7,8.2,-19.239
LEN,MG,,01LDX029,22.078,18,21.577,BK7,6.9,-21.577
LEN,MG,,01LDX035,25.09,20.16,24.623,BK7,7.3,-24.623
LEN,MG,,01LDX041,25.492,18,25.265,BK7,6.1,-25.265
LEN,MG,,01LDX043,25.49,22.86,24.712,BK7,9,-24.712
LEN,MG,,01LDX049,28.705,11.43,29.078,BK7,3.4,-29.078
LEN,MG,,01LDX055,30.108,20.16,30.007,BK7,6.3,-30.007
LEN,MG,,01LDX057,30.111,27,29.256,BK7,10.3,-29.256
LEN,MG,,01LDX061,31.815,22.86,31.589,BK7,7.3,-31.589
LEN,MG,,01LDX063,31.812,31.5,30.513,BK7,12.9,-30.513
LEN,MG,,01LDX065,33.121,9,33.768,BK7,2.7,-33.768
LEN,MG,,01LDX067,35.128,17.55,35.489,BK7,4.7,-35.489
LEN,MG,,01LDX079,38.236,34.29,37.281,BK7,12.4,-37.281
LEN,MG,,01LDX085,40.146,22.5,40.464,BK7,5.9,-40.464
LEN,MG,,01LDX103,50.184,22.5,50.986,BK7,5.1,-50.986
LEN,MG,,01LDX104,50.177,27,50.731,BK7,6.5,-50.731
LEN,MG,,01LDX107,50.181,37.8,49.883,BK7,11.2,-49.883
LEN,MG,,01LDX117,50.977,54,48.284,BK7,23.7,-48.284
LEN,MG,,01LDX123,60.214,45,59.956,BK7,12.9,-59.956
LEN,MG,,01LDX127,63.731,45,63.541,BK7,13.2,-63.541
LEN,MG,,01LDX129,65.239,31.5,66.27,BK7,6.7,-66.27
LEN,MG,,01LDX135,70.263,27,71.727,BK7,5.2,-71.727
LEN,MG,,01LDX141,75.277,22.5,77.119,BK7,4,-77.119
LEN,MG,,01LDX145,76.479,45.72,77.038,BK7,11.5,-77.038
LEN,MG,,01LDX149,80.296,20.16,82.393,BK7,3.5,-82.393
LEN,MG,,01LDX157,80.294,42.3,81.447,BK7,8.9,-81.447
LEN,MG,,01LDX161,89.229,22.86,91.575,BK7,3.8,-91.575
LEN,MG,,01LDX167,100.37,20.16,103.19,BK7,3.2,-103.19
LEN,MG,,01LDX168,100.37,27,103.02,BK7,4.2,-103.02
LEN,MG,,01LDX171,100.03,45,102.32,BK7,8.2,-102.32
LEN,MG,,01LDX179,101.97,45.72,103.79,BK7,9.3,-103.79
LEN,MG,,01LDX185,125.46,22.5,129.13,BK7,3.2,-129.13
LEN,MG,,01LDX187,125.46,36,128.8,BK7,5.1,-128.8
LEN,MG,,01LDX202,150.56,27,155.02,BK7,3.5,-155.02
LEN,MG,,01LDX205,150.56,45,154.57,BK7,6.1,-154.57
LEN,MG,,01LDX209,149.52,67.5,153.5,BK7,12.2,-153.5
