TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,LENGTH,RD1,GLA1,TH1,RD2
CYL,N,,CKX006,6.4,6.35,25.4,3.31,BK7,5.38,0
CYL,N,,CKX012,12.7,12.7,25.4,6.57,BK7,7.9,0
CYL,N,,CKX019,19,12.7,25.4,9.82,BK7,5.33,0
CYL,N,,CKX025,25.4,25.4,50.8,13.13,BK7,12.79,0
CYL,N,,CKX038,38.1,25.4,50.8,19.7,BK7,7.64,0
CYL,N,,CKX050,50.2,25.4,50.8,25.95,BK7,6.32,0
CYL,N,,CKX062,62.9,25.4,50.8,32.52,BK7,5.58,0
CYL,N,,CKX075,75.6,25.4,50.8,39.09,BK7,5.12,0
CYL,N,,CKX100,100,50.8,50.8,51.7,BK7,9.67,0
CYL,N,,CKX150,150,50.8,50.8,77.55,BK7,7.28,0
CYL,N,,CKX200,200,50.8,50.8,103.4,BK7,6.17,0
CYL,N,,CKX300,300,50.8,50.8,155.1,BK7,5.09,0
CYL,N,,CKX510,6.35,6.35,12.7,3.294,BK7,5.42,0
CYL,N,,CKX513,12.7,12.7,25.4,6.588,BK7,7.83,0
CYL,N,,CKX516,19,12.7,25.4,9.856,BK7,5.32,0
CYL,N,,CKX519,25.4,12.7,25.4,13.175,BK7,4.63,0
CYL,N,,CKX522,38.1,25.4,50.8,19.763,BK7,7.62,0
CYL,N,,CKX525,50.8,25.4,50.8,26.351,BK7,6.26,0
CYL,N,,CKX528,75.6,25.4,50.8,39.215,BK7,5.11,0
CYL,N,,CKX531,100,50.8,50.8,51.872,BK7,9.64,0
CYL,N,,CKX534,150,50.8,50.8,77.808,BK7,7.26,0
CYL,N,,CKX537,200,50.8,50.8,103.744,BK7,6.16,0
CYL,N,,CKX540,250,50.8,50.8,129.68,BK7,5.51,0
CYL,N,,CKV006,-6.4,6.35,25.4,-3.31,BK7,6,0
CYL,N,,CKV012,-12.7,12.7,25.4,-6.57,BK7,6,0
CYL,N,,CKV025,-25,12.7,25.4,-12.92,BK7,6,0
CYL,N,,CKV050,-50,19,50.8,-25.85,BK7,6,0
CYL,N,,CKV075,-75,25.4,50.8,-38.77,BK7,6,0
CYL,N,,CKV100,-100,25.4,50.8,-51.7,BK7,6,0
CYL,N,,CKV150,-150,25.4,50.8,-77.55,BK7,6,0
CYL,N,,CKV200,-200,25.4,50.8,-103.4,BK7,6,0
CYL,N,,CKV510,-6.35,6.35,12.7,-3.294,BK7,2.5,0
CYL,N,,CKV513,-12.7,12.7,25.4,-6.588,BK7,2.5,0
CYL,N,,CKV516,-19,12.7,25.4,-9.856,BK7,2.5,0
CYL,N,,CKV519,-25.4,12.7,25.4,-13.175,BK7,2.5,0
CYL,N,,CKV522,-38.1,25.4,50.8,-19.763,BK7,2.5,0
CYL,N,,CKV525,-50.8,25.4,50.8,-26.351,BK7,2.5,0
CYL,N,,CKV528,-75.6,25.4,50.8,-39.215,BK7,2.5,0
CYL,N,,CKV531,-100,50.8,50.8,-51.872,BK7,2.5,0
CYL,N,,CKV534,-150,50.8,50.8,-77.808,BK7,2.5,0
CYL,N,,CKV537,-200,50.8,50.8,-103.744,BK7,2.5,0
CYL,N,,CKV540,-250,50.8,50.8,-129.68,BK7,2.5,0
CYL,N,,CSX025,25.4,19,50.8,11.68,SILICA,7.88,0
CYL,N,,CSX050,50.2,25.4,50.8,23.09,SILICA,6.81,0
CYL,N,,CSX100,100,25.4,50.8,46,SILICA,4.79,0
CYL,N,,CSX150,150,50.8,50.8,69,SILICA,7.85,0
CYL,N,,CSX200,200,50.8,50.8,92,SILICA,6.58,0
CYL,N,,CSX300,300,50.8,50.8,138,SILICA,5.36,0
CYL,N,,CSV025,-25.4,19,50.8,-11.68,SILICA,2.5,0
CYL,N,,CSV050,-50.2,25.4,50.8,-23.09,SILICA,2.5,0
CYL,N,,CSV100,-100,25.4,50.8,-46,SILICA,2.5,0
CYL,N,,CSV150,-150,50.8,50.8,-69,SILICA,2.5,0
CYL,N,,CSV200,-200,50.8,50.8,-92,SILICA,2.5,0
CYL,N,,CSV300,-300,50.8,50.8,-138,SILICA,2.5,0
