TYPE,MAN ID,CAT,S/N,EFL,DIA,RD1,CC1,AS0,AS2,AS4,AS6,AS8,AS10,AS12,AS14,AS16,GLA1,TH1,RD2,CC2,AS0,AS2,AS4,AS6,AS8,AS10,AS12,AS14,AS16
ASP,OS,,23-2220,8.5,10,7.3016,-2.4277,,,,,,,,,,B270,5.5,-8.5,,,,,,,,,,
ASP,OS,,23-2230,10.5,10,5.5,-1.6735,,,,,,,,,,B270,3.5,0,,,,,,,,,,
ASP,OS,,23-2250,12,15,7.2075,-0.6595,,,,,,,,,,B270,8.8,-29,,,,,,,,,,
ASP,OS,,23-2260,15.5,15,8.1,-0.5406,,,,,,,,,,B270,7,0,,,,,,,,,,
ASP,OS,,23-2270,17,16,8.9,-0.8125,,,,,,,,,,B270,7,0,,,,,,,,,,
ASP,OS,,23-2290,18,20,9.45,-0.5298,,,,,,,,,,B270,10,0,,,,,,,,,,
ASP,OS,,23-2340,20,21,10.949,-1.4495,,,,,,,,,,B270,7.5,0,,,,,,,,,,
ASP,OS,,23-2380,23.5,26,12.33,-1.631,,,,,,,,,,B270,11,0,,,,,,,,,,
ASP,OS,,23-2390,26.5,26,13.9,-0.5443,,,,,,,,,,B270,11,0,,,,,,,,,,
ASP,OS,,23-2392,23.5,28,12.96,-0.5739,,,,,,,,,,B270,13.5,-165,,,,,,,,,,
ASP,OS,,23-2440,34.5,34,18.1,-0.733,,,,,,,,,,B270,12,0,,,,,,,,,,
ASP,OS,,23-2550,39,44,20.5,-0.4851,,,,,,,,,,B270,21.5,0,,,,,,,,,,
ASP,OS,,23-2570,49,44,28.6,-0.7018,,,,,,,,,,B270,14.3,-213,,,,,,,,,,
ASP,OS,,23-5515,18.4,5.5,10.9838,-0.542929,,,4.49E-06,-4.92E-08,,,,,,C05-50,2.2,0,,,,,,,,,,
ASP,OS,,23-5525,11.11,5.5,6.627608,-0.554366,,,4.39E-06,-3.81E-07,,,,,,C05-50,5,0,,,,,,,,,,
ASP,OS,,23-5530,6.16,3.7,4.25,-0.863601,,,0.000177613,-1.55E-05,,,,,,C05-50,3.48,-19.136,,,,,,
ASP,OS,,23-5540,6.24,5,4.32,-0.648067,,,0.000165853,-8.28E-06,,,,,,C05-50,5.4,-14.57539,-87.22806,,,-0.000915754,8.64E-05,
ASP,OS,,23-5550,2,2,1.5,-0.645786,,,-0.00127177,-0.00267573,,,,,,C05-50,2,-2.91036,,,,0.0944102,-0.127642,0.0816437
ASP,OS,,23-5555,4.5,5,2.944996,-0.481104,,,-2.89E-05,-3.76E-05,3.26E-06,,,,,C05-50,2.94,-19.9223,,,,0.0042371,-0.00063484,3.47E-05
