TYPE,MAN ID,CAT,S/N,EFL,HEI,LEN,RD1,GLA1,TH1,RD2
CYL,OS,,22-0110,15,9,10,7.79,BK7,4,0
CYL,OS,,22-0120,15,9,20,7.79,BK7,4,0
CYL,OS,,22-0125,15,9,70,7.79,BK7,4,0
CYL,OS,,22-0130,20,9,10,10.38,BK7,3,0
CYL,OS,,22-0140,20,9,20,10.38,BK7,3,0
CYL,OS,,22-0150,20,9,70,10.38,BK7,3,0
CYL,OS,,22-0152,20,13.5,15,10.38,BK7,5,0
CYL,OS,,22-0155,20,13.5,25,10.38,BK7,5,0
CYL,OS,,22-0157,20,13.5,70,10.38,BK7,5,0
CYL,OS,,22-0160,25,9,10,12.98,BK7,3,0
CYL,OS,,22-0170,25,9,20,12.98,BK7,3,0
CYL,OS,,22-0175,25,9,70,12.98,BK7,3,0
CYL,OS,,22-0180,25,13.5,15,12.98,BK7,5,0
CYL,OS,,22-0190,25,13.5,25,12.98,BK7,5,0
CYL,OS,,22-0220,25,13.5,70,12.98,BK7,5,0
CYL,OS,,22-0223,25,18,20,12.98,BK7,7,0
CYL,OS,,22-0225,25,18,30,12.98,BK7,7,0
CYL,OS,,22-0227,25,18,40,12.98,BK7,7,0
CYL,OS,,22-0229,25,18,70,12.98,BK7,7,0
CYL,OS,,22-0230,30,9,10,15.57,BK7,3,0
CYL,OS,,22-0240,30,9,20,15.57,BK7,3,0
CYL,OS,,22-0245,30,9,70,15.57,BK7,3,0
CYL,OS,,22-0250,30,13.5,15,15.57,BK7,4,0
CYL,OS,,22-0260,30,13.5,25,15.57,BK7,4,0
CYL,OS,,22-0270,30,13.5,70,15.57,BK7,4,0
CYL,OS,,22-0273,30,18,20,15.57,BK7,6,0
CYL,OS,,22-0275,30,18,30,15.57,BK7,6,0
CYL,OS,,22-0277,30,18,40,15.57,BK7,6,0
CYL,OS,,22-0279,30,18,70,15.57,BK7,6,0
CYL,OS,,22-0280,40,9,10,20.76,BK7,3,0
CYL,OS,,22-0290,40,9,20,20.76,BK7,3,0
CYL,OS,,22-0310,40,9,70,20.76,BK7,3,0
CYL,OS,,22-0330,40,13.5,15,20.76,BK7,4,0
CYL,OS,,22-0340,40,13.5,25,20.76,BK7,4,0
CYL,OS,,22-0350,40,13.5,70,20.76,BK7,4,0
CYL,OS,,22-0353,40,18,20,20.76,BK7,5,0
CYL,OS,,22-0355,40,18,30,20.76,BK7,5,0
CYL,OS,,22-0357,40,18,40,20.76,BK7,5,0
CYL,OS,,22-0359,40,18,70,20.76,BK7,5,0
CYL,OS,,22-0360,50,18,20,25.95,BK7,4,0
CYL,OS,,22-0365,50,18,30,25.95,BK7,4,0
CYL,OS,,22-0370,50,18,40,25.95,BK7,4,0
CYL,OS,,22-0380,50,18,70,25.95,BK7,4,0
CYL,OS,,22-0383,50,27,30,25.95,BK7,7,0
CYL,OS,,22-0385,50,27,40,25.95,BK7,7,0
CYL,OS,,22-0387,50,27,50,25.95,BK7,7,0
CYL,OS,,22-0389,50,27,70,25.95,BK7,7,0
CYL,OS,,22-0390,60,18,20,31.14,BK7,4,0
CYL,OS,,22-0410,60,18,30,31.14,BK7,4,0
CYL,OS,,22-0440,60,18,40,31.14,BK7,4,0
CYL,OS,,22-0450,60,18,70,31.14,BK7,4,0
CYL,OS,,22-0453,60,27,30,31.14,BK7,6,0
CYL,OS,,22-0455,60,27,40,31.14,BK7,6,0
CYL,OS,,22-0457,60,27,50,31.14,BK7,6,0
CYL,OS,,22-0459,60,27,70,31.14,BK7,6,0
CYL,OS,,22-0460,70,18,20,36.33,BK7,4,0
CYL,OS,,22-0465,70,18,30,36.33,BK7,4,0
CYL,OS,,22-0470,70,18,40,36.33,BK7,4,0
CYL,OS,,22-0480,70,18,70,36.33,BK7,4,0
CYL,OS,,22-0483,70,27,30,36.33,BK7,5,0
CYL,OS,,22-0485,70,27,40,36.33,BK7,5,0
CYL,OS,,22-0487,70,27,50,36.33,BK7,5,0
CYL,OS,,22-0489,70,27,70,36.33,BK7,5,0
CYL,OS,,22-0490,80,18,20,41.52,BK7,4,0
CYL,OS,,22-0510,80,18,30,41.52,BK7,4,0
CYL,OS,,22-0550,80,18,40,41.52,BK7,4,0
CYL,OS,,22-0560,80,18,70,41.52,BK7,4,0
CYL,OS,,22-0563,80,27,30,41.52,BK7,5,0
CYL,OS,,22-0565,80,27,40,41.52,BK7,5,0
CYL,OS,,22-0567,80,27,50,41.52,BK7,5,0
