TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material1,Thick1,Radius 2,Material2,Thick2,Radius 3,Material3,Thick3,Radius 4,Material4,Thick4,Radius 5,Material5,Thick5,Radius 6
LEN,OS,,26-4440,50,27,24.516,BK7,11,-31.125,AIR,1.26,-25.779,SF2,2,-100,,,,,,
LEN,OS,,26-4445,80.2,27,43.253,BK7,8.1,-34.867,AIR,0.79,-33.44,SF2,2,-133,,,,,,
LEN,OS,,26-4450,99.8,27,55.2,BK7,6.8,-42.383,AIR,0.97,-40.88,SF2,2,-156.4,,,,,,
LEN,OS,,26-4455,150,27,84.3,BK7,5.2,-61.4,AIR,1.33,-59.892,SF2,2,-230,,,,,,
LEN,OS,,26-4460,199.9,27,117.628,BK7,4.4,-81.07,AIR,1.1,-80,SF2,2,-283,,,,,,
LEN,OS,,27-0150,59.9,25,29.5,SK5,9.5,-36.8,AIR,2.13,-29.5,SF4,2,-179.6,,,,,,
LEN,OS,,27-0160,80,25,45,SK5,7.5,-40.06,AIR,1.08,-38.12,SF4,2,-176.76,,,,,,
LEN,OS,,27-0170,100.1,25,56.932,SK5,6.5,-46.7,AIR,1.02,-45,SF4,2,-214,,,,,,
LEN,OS,,27-0180,149.2,25,88.888,SK5,5,-67.3,AIR,1.01,-66.22,SF4,2,-295.78,,,,,,
LEN,OS,,27-2220,50.84,27,28.59,QUARTZ,9,-67.967,AIR,1.4,-34.5,QUARTZ,2,-54.4,,,,,,
LEN,OS,,27-2230,79.95,27,47,QUARTZ,7,-94.319,AIR,0.75,-53.722,QUARTZ,2,-86.625,,,,,,
LEN,OS,,27-2240,100,27,60.311,QUARTZ,6,-128.238,AIR,0.73,-64,QUARTZ,2,-90.372,,,,,,
LEN,OS,,27-2250,149.4,27,92.1,QUARTZ,5,-184,AIR,0.47,-95,QUARTZ,2,-134,,,,,,
LEN,OS,,27-2260,199.34,27,124.56,QUARTZ,4.5,-214,AIR,0.29,-128.238,QUARTZ,2,-200,,,,,,
LEN,OS,,27-2270,80.24,37,44.45,QUARTZ,10,-111.11,AIR,1.64,-55.277,QUARTZ,3,-88.75,,,,,,
LEN,OS,,27-2280,99.86,37,57.09,QUARTZ,8,-133,AIR,1.27,-68.088,QUARTZ,3,-105.44
LEN,OS,,27-2330,149.61,37,90.372,QUARTZ,6.5,-207.6,AIR,1.02,-93.58,QUARTZ,3,-124.46
LEN,OS,,27-2340,199.23,37,122,QUARTZ,5.5,-228.36,AIR,0.57,-130.56,QUARTZ,3,-200
LEN,OS,,27-2345,249.35,37,150,QUARTZ,5,-265,AIR,0.38,-167.7,QUARTZ,3,-290.929
LEN,OS,,27-2350,100.43,47,55.277,QUARTZ,11.5,-146.6,AIR,2.16,-70.182,QUARTZ,3,-111.11
LEN,OS,,27-2360,149.67,47,88.75,QUARTZ,8,-214,AIR,1.66,-95,QUARTZ,3,-128.238
LEN,OS,,27-2370,199.2,47,120,QUARTZ,7,-253.1,AIR,1.05,-129.75,QUARTZ,3,-187.176
LEN,OS,,27-2380,249.09,47,153.35,QUARTZ,6,-300,AIR,0.8,-161,QUARTZ,3,-233.55
LEN,OS,,27-2390,298.74,47,184,QUARTZ,6,-376,AIR,0.72,-190,QUARTZ,3,-265
LEN,OS,,27-3010,50,27,30,CaF2,10,-30,AIR,0.76,-25.3,QUARTZ,2,-51.5
LEN,OS,,27-3015,79.6,27,48,CaF2,6.8,-48,AIR,0.4,-40.6,QUARTZ,2,-84.3
LEN,OS,,27-3020,99.6,27,61.4,CaF2,5.7,-61.4,AIR,0.34,-51,QUARTZ,2,-99.82
LEN,OS,,27-3025,150.5,27,61.4,CaF2,5.7,-61.4,AIR,0.08,-58.5,QUARTZ,2,-3690
LEN,OS,,27-3030,202.3,27,61.4,CaF2,5.7,-61.4,AIR,0.06,-59.1,QUARTZ,2,282.2
LEN,OS,,27-3035,80,37,48,CaF2,11.2,-48,AIR,0.85,-40.6,QUARTZ,2.5,-84.3
LEN,OS,,27-3040,100,37,61.4,CaF2,9.2,-61.4,AIR,0.66,-51,QUARTZ,2.5,-99.82
