Type,ID,Cat,Part #,EFL,Diameter,R1,Glass 1,Th 1,R2,Glass 2,Th 2,R3,,
LEN,TL,AC,AC050-008-A,7.52,5.00,5.25,N-BAF10,2.80,-3.90,N-SF6HT,1.70,-17.06,,
LEN,TL,AC,AC050-008-B,7.53,5.00,4.61,N-BAF10,2.80,-3.90,N-SF6HT,1.80,-35.95,,
LEN,TL,AC,AC050-008-C,7.53,5.00,4.61,N-LAK22,2.50,-3.90,N-SF6HT,1.50,-23.88,,
LEN,TL,AC,AC050-010-A,9.99,5.00,6.55,N-BAK4,2.50,-4.25,SF5,1.90,-15.42,,
LEN,TL,AC,AC050-010-B,10.01,5.00,6.55,N-LAK22,2.20,-5.25,N-SF6HT,1.60,-24.89,,
LEN,TL,AC,AC050-010-C,10.01,5.00,4.61,N-LAK22,2.50,-4.61,N-SF6HT,1.50,35.95,,
LEN,TL,AC,AC050-015-A,15.00,5.00,12.54,N-BK7,2.70,-5.25,SF2,2.10,-12.05,,
LEN,TL,AC,AC050-015-B,15.00,5.00,10.28,N-LAK22,2.30,-7.59,N-SF6HT,1.70,-32.14,,
LEN,TL,AC,AC050-015-C,15.00,5.00,5.25,N-BAF10,2.00,-5.45,N-SF6HT,1.30,15.24,,
LEN,TL,AC,AC060-010-A,10.00,6.00,6.17,N-BAK4,2.50,-4.61,SF5,1.50,-19.63,,
LEN,TL,AC,AC060-010-B,10.02,6.00,7.08,N-LAK22,2.50,-5.25,N-SF6HT,1.50,-19.54,,
LEN,TL,AC,AC060-010-C,10.00,6.00,10.35,N-LAK22,3.50,-3.64,N-SF6HT,1.30,-9.20,,
LEN,TL,AC,AC064-013-A,12.71,6.35,7.08,N-BAK4,2.50,-5.94,SF5,1.50,-40.36,,
LEN,TL,AC,AC064-013-B,12.71,6.35,8.60,N-LAK22,2.50,-6.67,N-SF6HT,1.40,-28.97,,
LEN,TL,AC,AC064-013-C,12.69,6.35,13.15,N-LAK22,2.80,-4.89,N-SF6HT,1.30,-12.42,,
