Type,ID,Cat,Part #,EFL,Height,Length,R1,Glass,CT,R2,,,,
CYL,TL,VIS,LK1002L1,-1000.00,30.00,32.00,-516.80,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1002L2,-1000.00,30.00,60.00,-516.80,N-BK7,3.00,0.00,,,,
CYL,TL,UV,LK4989,-501.76,30.00,45.00,-230.04,SILICA,3.00,0.00,,,,
CYL,TL,VIS,LK1487L1,-400.00,30.00,32.00,-206.72,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1487L2,-400.00,30.00,60.00,-206.72,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1030L1,-250.00,30.00,32.00,-129.20,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1069L1,-200.00,30.00,32.00,-103.36,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1069L2,-200.00,30.00,60.00,-103.36,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1419L1,-150.00,30.00,32.00,-77.52,N-BK7,3.00,0.00,,,,
CYL,TL,UV,LK4245,-100.34,30.00,45.00,-46.00,SILICA,3.00,0.00,,,,
CYL,TL,VIS,LK1743L1,-100.00,30.00,32.00,-51.68,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1936L1,-100.00,100.00,90.00,-51.68,N-BK7,3.00,0.00,,,,
CYL,TL,VIS,LK1526L1,-79.99,20.00,22.00,-41.34,N-BK7,3.00,0.00,,,,
CYL,TL,UV,LK4385,-75.25,20.00,30.00,-34.50,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1431L1,-75.00,50.80,53.00,-38.76,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1913L1,-69.99,30.00,32.00,-36.17,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1995L1,-60.00,30.00,32.00,-31.01,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1792L1,-50.99,50.80,53.00,-26.35,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1336L1,-50.00,30.00,32.00,-25.84,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1662L1,-50.00,20.00,22.00,-25.84,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1283L1,-40.00,10.00,12.00,-20.67,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1325L1,-38.12,26.00,28.00,-19.70,N-BK7,2.00,0.00,,,,
CYL,TL,UV,LK4166,-30.10,20.00,30.00,-13.80,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1982L1,-29.99,20.00,22.00,-15.50,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1982L2,-29.99,20.00,40.00,-15.50,N-BK7,2.00,0.00,,,,
CYL,TL,UV,LK4498,-25.48,22.00,33.00,-11.68,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1900L1,-25.39,16.00,18.00,-13.12,N-BK7,2.00,0.00,,,,
CYL,TL,UV,LK4326,-25.08,15.00,23.00,-11.50,SILICA,2.00,0.00,,,,
CYL,TL,UV,LK4767,-25.08,20.00,30.00,-11.50,SILICA,2.00,0.00,,,,
CYL,TL,UV,LK4836,-25.08,10.00,15.00,-11.50,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1426L1,-24.88,10.00,12.00,-12.86,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1006L1,-22.19,12.50,15.00,-11.47,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1085L1,-20.01,15.00,17.00,-10.34,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1085L2,-20.01,15.00,30.00,-10.34,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1037L1,-19.00,19.00,21.00,-9.82,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1037L2,-19.00,19.00,38.00,-9.82,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1753L1,-15.00,10.00,12.00,-7.75,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1753L2,-15.00,10.00,20.00,-7.75,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1816L1,-13.70,13.00,15.00,-7.08,N-BK7,2.00,0.00,,,,
CYL,TL,UV,LK4155,-12.74,10.00,15.00,-5.84,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1684L1,-12.69,10.00,12.00,-6.56,N-BK7,2.00,0.00,,,,
CYL,TL,UV,LK4372,-10.03,9.00,14.00,-4.60,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1836L1,-9.69,10.00,12.00,-5.01,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1836L2,-9.69,10.00,20.00,-5.01,N-BK7,2.00,0.00,,,,
CYL,TL,UV,LK4351,-8.03,7.20,11.00,-3.68,SILICA,2.00,0.00,,,,
CYL,TL,VIS,LK1363L1,-7.70,7.00,9.00,-3.98,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1363L2,-7.70,7.00,14.00,-3.98,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1087L1,-6.35,6.00,8.00,-3.28,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1087L2,-6.35,6.00,12.00,-3.28,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1523L1,-5.79,4.00,6.00,-2.99,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1597L1,-4.01,4.00,6.00,-2.07,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1597L2,-4.01,4.00,8.00,-2.07,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1395L1,-3.91,4.00,6.00,-2.02,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LK1395L2,-3.91,4.00,8.00,-2.02,N-BK7,2.00,0.00,,,,
CYL,TL,VIS,LJ1598L1,3.91,4.00,6.00,2.02,N-BK7,3.80,0.00,,,,
CYL,TL,VIS,LJ1598L2,3.91,4.00,8.00,2.02,N-BK7,3.80,0.00,,,,
CYL,TL,VIS,LJ1310L1,4.01,4.00,6.00,2.07,N-BK7,3.56,0.00,,,,
CYL,TL,VIS,LJ1310L2,4.01,4.00,8.00,2.07,N-BK7,3.56,0.00,,,,
CYL,TL,VIS,LJ1918L1,5.79,4.00,6.00,2.99,N-BK7,2.76,0.00,,,,
CYL,TL,VIS,LJ1918L2,5.79,4.00,8.00,2.99,N-BK7,2.76,0.00,,,,
CYL,TL,VIS,LJ1227L1,6.35,6.00,8.00,3.28,N-BK7,3.95,0.00,,,,
CYL,TL,VIS,LJ1227L2,6.35,6.00,12.00,3.28,N-BK7,3.95,0.00,,,,
CYL,TL,VIS,LJ1874L1,7.70,7.00,9.00,3.98,N-BK7,4.09,0.00,,,,
CYL,TL,VIS,LJ1874L2,7.70,7.00,14.00,3.98,N-BK7,4.09,0.00,,,,
CYL,TL,UV,LJ4359,8.03,7.20,11.00,3.68,SILICA,4.91,0.00,,,,
CYL,TL,VIS,LJ1878L1,10.00,10.00,12.00,5.17,N-BK7,5.88,0.00,,,,
CYL,TL,VIS,LJ1878L2,10.00,10.00,20.00,5.17,N-BK7,5.88,0.00,,,,
CYL,TL,UV,LJ4918,10.03,9.00,14.00,4.60,SILICA,5.64,0.00,,,,
CYL,TL,VIS,LJ1942L1,12.69,10.00,12.00,6.56,N-BK7,4.31,0.00,,,,
