Type,ID,Cat,Part #,EFL,Diameter,R1,Glass,CT,R2,,,
LEN,TL,VIS,LA1002,149.50,75.00,77.26,N-BK7,12.71,0.00,,,
LEN,TL,VIS,LA1027,34.87,25.40,18.02,N-BK7,7.23,0.00,,,
LEN,TL,VIS,LA1031,99.65,30.00,51.50,N-BK7,4.73,0.00,,,
LEN,TL,VIS,LA1050,99.65,50.80,51.50,N-BK7,9.69,0.00,,,
LEN,TL,VIS,LA1074,19.93,12.70,10.30,N-BK7,3.98,0.00,,,
LEN,TL,VIS,LA1085,29.90,18.00,15.45,N-BK7,4.69,0.00,,,
LEN,TL,VIS,LA1102,49.83,30.00,25.75,N-BK7,7.31,0.00,,,
LEN,TL,VIS,LA1116,9.97,6.00,5.15,N-BK7,2.46,0.00,,,
LEN,TL,VIS,LA1119,49.83,18.00,25.75,N-BK7,3.42,0.00,,,
LEN,TL,VIS,LA1131,49.83,25.40,25.75,N-BK7,5.34,0.00,,,
LEN,TL,VIS,LA1134,59.79,25.40,30.90,N-BK7,4.73,0.00,,,
LEN,TL,VIS,LA1145,74.75,50.80,38.63,N-BK7,12.52,0.00,,,
LEN,TL,VIS,LA1172,398.67,25.40,206.03,N-BK7,2.39,0.00,,,
LEN,TL,VIS,LA1207,99.65,12.70,51.50,N-BK7,2.19,0.00,,,
LEN,TL,VIS,LA1213,49.83,12.70,25.75,N-BK7,2.59,0.00,,,
LEN,TL,VIS,LA1222,14.94,6.00,7.72,N-BK7,2.10,0.00,,,
LEN,TL,VIS,LA1229,174.40,25.40,90.13,N-BK7,2.89,0.00,,,
LEN,TL,VIS,LA1237,498.34,30.00,257.54,N-BK7,2.31,0.00,,,
LEN,TL,VIS,LA1238,99.65,75.00,51.50,N-BK7,19.19,0.00,,,
LEN,TL,VIS,LA1251,99.98,25.00,51.50,N-BK7,3.60,0.00,,,
LEN,TL,VIS,LA1252,25.43,25.00,13.10,N-BK7,11.70,0.00,,,
LEN,TL,VIS,LA1253,199.97,25.00,103.00,N-BK7,2.80,0.00,,,
LEN,TL,VIS,LA1255,50.09,25.00,25.80,N-BK7,5.30,0.00,,,
LEN,TL,VIS,LA1256,299.00,50.80,154.52,N-BK7,5.10,0.00,,,
LEN,TL,VIS,LA1257,74.94,25.00,38.60,N-BK7,4.10,0.00,,,
LEN,TL,VIS,LA1270,24.90,18.00,12.87,N-BK7,5.46,0.00,,,
LEN,TL,VIS,LA1274,39.86,30.00,20.60,N-BK7,8.97,0.00,,,
LEN,TL,VIS,LA1289,29.90,12.70,15.45,N-BK7,3.16,0.00,,,
LEN,TL,VIS,LA1301,249.17,50.80,128.77,N-BK7,5.52,0.00,,,
LEN,TL,VIS,LA1304,39.86,12.70,20.60,N-BK7,2.80,0.00,,,
LEN,TL,VIS,LA1353,199.32,75.00,103.01,N-BK7,10.06,0.00,,,
LEN,TL,VIS,LA1380,498.34,50.80,257.54,N-BK7,4.25,0.00,,,
LEN,TL,VIS,LA1384,124.58,50.80,64.38,N-BK7,8.22,0.00,,,
LEN,TL,VIS,LA1399,174.40,50.80,90.13,N-BK7,6.65,0.00,,,
LEN,TL,VIS,LA1401,59.79,50.80,30.90,N-BK7,16.29,0.00,,,
LEN,TL,VIS,LA1417,149.50,50.80,77.26,N-BK7,7.29,0.00,,,
LEN,TL,VIS,LA1419,299.00,30.00,154.52,N-BK7,2.52,0.00,,,
LEN,TL,VIS,LA1422,39.86,25.40,20.60,N-BK7,6.37,0.00,,,
LEN,TL,VIS,LA1433,149.50,25.40,77.26,N-BK7,3.05,0.00,,,
LEN,TL,VIS,LA1461,249.17,25.40,128.77,N-BK7,2.62,0.00,,,
LEN,TL,VIS,LA1464,996.68,25.40,515.08,N-BK7,2.15,0.00,,,
LEN,TL,VIS,LA1470,11.96,6.00,6.18,N-BK7,2.27,0.00,,,
LEN,TL,VIS,LA1472,19.93,9.00,10.30,N-BK7,2.53,0.00,,,
LEN,TL,VIS,LA1484,299.00,25.40,154.52,N-BK7,2.52,0.00,,,
LEN,TL,VIS,LA1509,99.65,25.40,51.50,N-BK7,3.59,0.00,,,
LEN,TL,VIS,LA1540,14.94,12.70,7.72,N-BK7,5.12,0.00,,,
LEN,TL,VIS,LA1541,199.32,30.00,103.01,N-BK7,2.78,0.00,,,
LEN,TL,VIS,LA1560,24.90,12.70,12.87,N-BK7,3.47,0.00,,,
LEN,TL,VIS,LA1576,11.96,9.00,6.18,N-BK7,3.44,0.00,,,
LEN,TL,VIS,LA1608,74.75,25.40,38.63,N-BK7,4.14,0.00,,,
LEN,TL,VIS,LA1700,29.90,6.00,15.45,N-BK7,1.79,0.00,,,
LEN,TL,VIS,LA1708,199.32,25.40,103.01,N-BK7,2.78,0.00,,,
LEN,TL,VIS,LA1725,398.67,50.80,206.03,N-BK7,4.57,0.00,,,
LEN,TL,VIS,LA1727,747.51,50.80,386.31,N-BK7,3.83,0.00,,,
LEN,TL,VIS,LA1740,84.71,75.00,43.78,N-BK7,24.18,0.00,,,
LEN,TL,VIS,LA1765,74.75,30.00,38.63,N-BK7,5.53,0.00,,,
LEN,TL,VIS,LA1779,996.68,50.80,515.08,N-BK7,3.62,0.00,,,
LEN,TL,VIS,LA1805,29.90,25.40,15.45,N-BK7,8.64,0.00,,,
LEN,TL,VIS,LA1832,249.17,30.00,128.77,N-BK7,2.62,0.00,,,
LEN,TL,VIS,LA1859,19.93,18.00,10.30,N-BK7,7.08,0.00,,,
LEN,TL,VIS,LA1907,149.50,30.00,77.26,N-BK7,3.05,0.00,,,
LEN,TL,VIS,LA1908,498.34,25.40,257.54,N-BK7,2.31,0.00,,,
LEN,TL,VIS,LA1951,25.31,25.40,13.08,N-BK7,11.74,0.00,,,
LEN,TL,VIS,LA1978,747.51,25.40,386.31,N-BK7,2.20,0.00,,,
LEN,TL,VIS,LA1979,199.32,50.80,103.01,N-BK7,6.18,0.00,,,
LEN,TL,VIS,LA1986,124.58,25.40,64.38,N-BK7,3.26,0.00,,,
LEN,TL,UV,LA4052,35.12,25.40,16.10,SILICA,8.20,0.00,,,
LEN,TL,UV,LA4078,75.25,50.80,34.50,SILICA,14.14,0.00,,,
LEN,TL,UV,LA4102,200.69,25.40,92.01,SILICA,2.88,0.00,,,
LEN,TL,UV,LA4130,40.13,12.70,18.40,SILICA,2.93,0.00,,,
LEN,TL,UV,LA4148,50.17,25.40,23.00,SILICA,5.82,0.00,,,
LEN,TL,UV,LA4158,250.88,25.40,115.02,SILICA,2.70,0.00,,,
LEN,TL,UV,LA4184,501.76,25.40,230.04,SILICA,2.35,0.00,,,
LEN,TL,UV,LA4194,20.07,6.00,9.20,SILICA,2.00,0.00,,,
LEN,TL,UV,LA4236,125.44,25.40,57.51,SILICA,3.41,0.00,,,
LEN,TL,UV,LA4246,501.76,75.00,230.04,SILICA,6.07,0.00,,,
LEN,TL,UV,LA4249,10.03,5.00,4.60,SILICA,2.23,0.00,,,
LEN,TL,UV,LA4280,10.03,6.00,4.60,SILICA,2.61,0.00,,,
LEN,TL,UV,LA4306,40.13,25.40,18.40,SILICA,7.08,0.00,,,
LEN,TL,UV,LA4327,75.25,12.70,34.50,SILICA,2.38,0.00,,,
LEN,TL,UV,LA4337,1003.53,50.80,460.08,SILICA,3.70,0.00,,,
LEN,TL,UV,LA4372,150.53,75.00,69.01,SILICA,14.07,0.00,,,
LEN,TL,UV,LA4380,100.34,25.40,46.00,SILICA,3.78,0.00,,,
LEN,TL,UV,LA4384,90.30,75.00,41.40,SILICA,26.84,0.00,,,
LEN,TL,UV,LA4464,60.20,50.80,27.60,SILICA,19.79,0.00,,,
LEN,TL,UV,LA4538,250.88,50.80,115.02,SILICA,5.83,0.00,,,
LEN,TL,UV,LA4545,100.34,50.80,46.00,SILICA,10.64,0.00,,,
LEN,TL,UV,LA4579,301.05,25.40,138.02,SILICA,2.58,0.00,,,
LEN,TL,UV,LA4600,100.34,12.70,46.00,SILICA,2.24,0.00,,,
LEN,TL,UV,LA4647,20.07,12.70,9.20,SILICA,4.34,0.00,,,
LEN,TL,UV,LA4663,1003.53,25.40,460.08,SILICA,2.17,0.00,,,
